system:time_start,LST_Day_1km
"Jan 1, 2004",10.231
"Jan 9, 2004",11.459
"Jan 17, 2004",11.099
"Jan 25, 2004",8.434
"Feb 2, 2004",10.279
"Feb 10, 2004",14.048
"Feb 18, 2004",16.535
"Feb 26, 2004",19.787
"Mar 5, 2004",19.721
"Mar 13, 2004",22.8
"Mar 21, 2004",24.756
"Mar 29, 2004",23.503
"Apr 6, 2004",23.885
"Apr 14, 2004",24.927
"Apr 22, 2004",21.084
"Apr 30, 2004",24.366
"May 8, 2004",28.222
"May 16, 2004",26.867
"May 24, 2004",20.225
"Jun 1, 2004",22.49
"Jun 9, 2004",21.796
"Jun 17, 2004",22.017
"Jun 25, 2004",22.899
"Jul 3, 2004",17.724
"Jul 11, 2004",17.603
"Jul 19, 2004",18.65
"Jul 27, 2004",16.925
"Aug 4, 2004",15.741
"Aug 12, 2004",18.89
"Aug 20, 2004",19.156
"Aug 28, 2004",18.992
"Sep 5, 2004",21.058
"Sep 13, 2004",17.161
"Sep 21, 2004",18.039
"Sep 29, 2004",15.894
"Oct 7, 2004",17.878
"Oct 15, 2004",17.625
"Oct 23, 2004",15.09
"Oct 31, 2004",15.825
"Nov 8, 2004",15.443
"Nov 16, 2004",15.06
"Nov 24, 2004",12.585
"Dec 2, 2004",14.522
"Dec 10, 2004",14.64
"Dec 18, 2004",11.547
"Dec 26, 2004",11.827
"Jan 1, 2005",11.938
"Jan 9, 2005",10.441
"Jan 17, 2005",5.626
"Jan 25, 2005",7.915
"Feb 2, 2005",8.589
"Feb 10, 2005",11.287
"Feb 18, 2005",13.435
"Feb 26, 2005",16.519
"Mar 6, 2005",17.708
"Mar 14, 2005",18.373
"Mar 22, 2005",18.847
"Mar 30, 2005",21.359
"Apr 7, 2005",22.866
"Apr 15, 2005",24.517
"Apr 23, 2005",24.95
"May 1, 2005",21.238
"May 9, 2005",25.033
"May 17, 2005",27.584
"May 25, 2005",30.513
"Jun 2, 2005",27.883
"Jun 10, 2005",30.003
"Jun 18, 2005",29.858
"Jun 26, 2005",18.904
"Jul 4, 2005",19.661
"Jul 12, 2005",10.679
"Jul 20, 2005",19.018
"Jul 28, 2005",18.937
"Aug 5, 2005",18.079
"Aug 13, 2005",18.311
"Aug 21, 2005",18.581
"Aug 29, 2005",20.572
"Sep 6, 2005",20.086
"Sep 14, 2005",19.826
"Sep 22, 2005",18.326
"Sep 30, 2005",17.908
"Oct 8, 2005",18.824
"Oct 16, 2005",18.025
"Oct 24, 2005",16.468
"Nov 1, 2005",15.71
"Nov 9, 2005",16.983
"Nov 17, 2005",15.81
"Nov 25, 2005",13.935
"Dec 3, 2005",13.963
"Dec 11, 2005",13.622
"Dec 19, 2005",12.111
"Dec 27, 2005",10.785
"Jan 1, 2006",12.322
"Jan 9, 2006",13.634
"Jan 17, 2006",12.028
"Jan 25, 2006",14.084
"Feb 2, 2006",16.138
"Feb 10, 2006",16.302
"Feb 18, 2006",20.657
"Feb 26, 2006",20.278
"Mar 6, 2006",17.498
"Mar 14, 2006",16.893
"Mar 22, 2006",20.754
"Mar 30, 2006",23.149
"Apr 7, 2006",23.618
"Apr 15, 2006",22.352
"Apr 23, 2006",23.001
"May 1, 2006",25.748
"May 9, 2006",22.239
"May 17, 2006",24.162
"May 25, 2006",22.401
"Jun 2, 2006",23.362
"Jun 10, 2006",22.226
"Jun 18, 2006",25.062
"Jun 26, 2006",19.822
"Jul 4, 2006",17.175
"Jul 12, 2006",18.211
"Jul 20, 2006",17.932
"Jul 28, 2006",22.519
"Aug 5, 2006",22.84
"Aug 13, 2006",21.139
"Aug 21, 2006",23.204
"Aug 29, 2006",20.819
"Sep 6, 2006",18.533
"Sep 14, 2006",19.804
"Sep 22, 2006",19.845
"Sep 30, 2006",20.726
"Oct 8, 2006",19.163
"Oct 16, 2006",17.61
"Oct 24, 2006",17.32
"Nov 1, 2006",16.09
"Nov 9, 2006",15.873
"Nov 17, 2006",15.088
"Nov 25, 2006",13.989
"Dec 3, 2006",14.197
"Dec 11, 2006",12.154
"Dec 19, 2006",12.647
"Dec 27, 2006",12.522
"Jan 1, 2007",12.917
"Jan 9, 2007",9.433
"Jan 17, 2007",11.77
"Jan 25, 2007",14.434
"Feb 2, 2007",12.324
"Feb 10, 2007",6.969
"Feb 18, 2007",13.497
"Feb 26, 2007",13.596
"Mar 6, 2007",15.189
"Mar 14, 2007",15.563
"Mar 22, 2007",21.845
"Mar 30, 2007",24.441
"Apr 7, 2007",23.298
"Apr 15, 2007",21.7
