system:time_start,LST_Day_1km
"Jan 1, 2004",7.614
"Jan 9, 2004",8.964
"Jan 17, 2004",7.509
"Jan 25, 2004",5.668
"Feb 2, 2004",6.363
"Feb 10, 2004",8.911
"Feb 18, 2004",11.114
"Feb 26, 2004",11.831
"Mar 5, 2004",12.448
"Mar 13, 2004",15.804
"Mar 21, 2004",14.951
"Mar 29, 2004",14.486
"Apr 6, 2004",14.828
"Apr 14, 2004",16.151
"Apr 22, 2004",14.849
"Apr 30, 2004",14.824
"May 8, 2004",18.574
"May 16, 2004",19.01
"May 24, 2004",15.395
"Jun 1, 2004",14.911
"Jun 9, 2004",17.852
"Jun 17, 2004",15.979
"Jun 25, 2004",18.825
"Jul 3, 2004",
"Jul 11, 2004",13.573
"Jul 19, 2004",15.022
"Jul 27, 2004",13
"Aug 4, 2004",17.93
"Aug 12, 2004",12.1
"Aug 20, 2004",17.551
"Aug 28, 2004",18.912
"Sep 5, 2004",19.765
"Sep 13, 2004",17.53
"Sep 21, 2004",17.814
"Sep 29, 2004",15.957
"Oct 7, 2004",16.159
"Oct 15, 2004",15.174
"Oct 23, 2004",13.367
"Oct 31, 2004",13.405
"Nov 8, 2004",12.805
"Nov 16, 2004",12.884
"Nov 24, 2004",10.42
"Dec 2, 2004",11.833
"Dec 10, 2004",12.154
"Dec 18, 2004",10.043
"Dec 26, 2004",9.534
"Jan 1, 2005",8.576
"Jan 9, 2005",8.151
"Jan 17, 2005",2.603
"Jan 25, 2005",5.232
"Feb 2, 2005",3.961
"Feb 10, 2005",6.217
"Feb 18, 2005",6.846
"Feb 26, 2005",9.326
"Mar 6, 2005",11.613
"Mar 14, 2005",10.899
"Mar 22, 2005",11.485
"Mar 30, 2005",13.352
"Apr 7, 2005",14.229
"Apr 15, 2005",13.937
"Apr 23, 2005",13.584
"May 1, 2005",13.307
"May 9, 2005",14.91
"May 17, 2005",16.92
"May 25, 2005",18.093
"Jun 2, 2005",17.25
"Jun 10, 2005",19.714
"Jun 18, 2005",20.591
"Jun 26, 2005",17.769
"Jul 4, 2005",18.089
"Jul 12, 2005",10.162
"Jul 20, 2005",11.373
"Jul 28, 2005",14.624
"Aug 5, 2005",17.619
"Aug 13, 2005",19.266
"Aug 21, 2005",17.504
"Aug 29, 2005",18.903
"Sep 6, 2005",17.701
"Sep 14, 2005",16.048
"Sep 22, 2005",16.734
"Sep 30, 2005",17.249
"Oct 8, 2005",15.721
"Oct 16, 2005",16.038
"Oct 24, 2005",14.766
"Nov 1, 2005",12.916
"Nov 9, 2005",13.769
"Nov 17, 2005",12.805
"Nov 25, 2005",11.084
"Dec 3, 2005",10.907
"Dec 11, 2005",10.268
"Dec 19, 2005",8.704
"Dec 27, 2005",8.11
"Jan 1, 2006",7.149
"Jan 9, 2006",8.235
"Jan 17, 2006",7.507
"Jan 25, 2006",9.422
"Feb 2, 2006",11.508
"Feb 10, 2006",10.67
"Feb 18, 2006",13.031
"Feb 26, 2006",12.178
"Mar 6, 2006",10.17
"Mar 14, 2006",9.578
"Mar 22, 2006",11.883
"Mar 30, 2006",13.75
"Apr 7, 2006",13.99
"Apr 15, 2006",13.796
"Apr 23, 2006",15.501
"May 1, 2006",17.523
"May 9, 2006",18.642
"May 17, 2006",13.546
"May 25, 2006",16.397
"Jun 2, 2006",19.014
"Jun 10, 2006",15.71
"Jun 18, 2006",17.083
"Jun 26, 2006",16.575
"Jul 4, 2006",18.846
"Jul 12, 2006",
"Jul 20, 2006",11.32
"Jul 28, 2006",18.689
"Aug 5, 2006",19.108
"Aug 13, 2006",18.005
"Aug 21, 2006",15.724
"Aug 29, 2006",17.473
"Sep 6, 2006",17.234
"Sep 14, 2006",16.707
"Sep 22, 2006",17.259
"Sep 30, 2006",18.121
"Oct 8, 2006",16.634
"Oct 16, 2006",16.622
"Oct 24, 2006",14.454
"Nov 1, 2006",12.861
"Nov 9, 2006",13.096
"Nov 17, 2006",12.336
"Nov 25, 2006",11.147
"Dec 3, 2006",9.927
"Dec 11, 2006",9.453
"Dec 19, 2006",9.24
"Dec 27, 2006",9.855
"Jan 1, 2007",9.773
"Jan 9, 2007",8.017
"Jan 17, 2007",8.778
"Jan 25, 2007",10.36
"Feb 2, 2007",9.642
"Feb 10, 2007",3.111
"Feb 18, 2007",8.592
"Feb 26, 2007",7.706
"Mar 6, 2007",9.017
"Mar 14, 2007",8.137
"Mar 22, 2007",13.706
"Mar 30, 2007",16.077
"Apr 7, 2007",16.354
"Apr 15, 2007",15.417
"Apr 23, 2007",16.917
"May 1, 2007",15.887
"May 9, 2007",15.683
"May 17, 2007",15.465
"May 25, 2007",17.902
"Jun 2, 2007",18.14
"Jun 10, 2007",19.471
"Jun 18, 2007",16.447
"Jun 26, 2007",18.426
"Jul 4, 2007",17.965
"Jul 12, 2007",18.039
"Jul 20, 2007",8.63
"Jul 28, 2007",15.164
"Aug 5, 2007",15.513
"Aug 13, 2007",16.718
"Aug 21, 2007",15.477
"Aug 29, 2007",13.889
"Sep 6, 2007",18.17
"Sep 14, 2007",16.871
"Sep 22, 2007",18.668
"Sep 30, 2007",16.92
"Oct 8, 2007",16.045
"Oct 16, 2007",15.01
"Oct 24, 2007",15.933
"Nov 1, 2007",14.243
"Nov 9, 2007",11.979
"Nov 17, 2007",13.176
"Nov 25, 2007",12.632
"Dec 3, 2007",10.929
"Dec 11, 2007",7.917
"Dec 19, 2007",10.704
"Dec 27, 2007",10.139
"Jan 1, 2008",7.653
"Jan 9, 2008",8.041
"Jan 17, 2008",5.835
"Jan 25, 2008",3.716
"Feb 2, 2008",4.903
"Feb 10, 2008",7.393
"Feb 18, 2008",8.371
"Feb 26, 2008",11.23
"Mar 5, 2008",12.581
"Mar 13, 2008",11.724
"Mar 21, 2008",12.56
"Mar 29, 2008",4.305
"Apr 6, 2008",13.001
"Apr 14, 2008",14.871
"Apr 22, 2008",17.033
"Apr 30, 2008",15.903
"May 8, 2008",12.968
"May 16, 2008",12.733
"May 24, 2008",14.391
"Jun 1, 2008",13.774
"Jun 9, 2008",16.622
"Jun 17, 2008",15.88
"Jun 25, 2008",16.879
"Jul 3, 2008",18.025
"Jul 11, 2008",14.457
"Jul 19, 2008",
"Jul 27, 2008",13.366
"Aug 4, 2008",15.554
"Aug 12, 2008",
"Aug 20, 2008",17.38
"Aug 28, 2008",17.98
"Sep 5, 2008",16.597
"Sep 13, 2008",15.51
"Sep 21, 2008",15.326
"Sep 29, 2008",16.854
"Oct 7, 2008",15.11
"Oct 15, 2008",15.32
"Oct 23, 2008",14.497
"Oct 31, 2008",15.138
"Nov 8, 2008",14.596
"Nov 16, 2008",12.838
"Nov 24, 2008",12.342
"Dec 2, 2008",12.802
"Dec 10, 2008",10.315
"Dec 18, 2008",10.227
"Dec 26, 2008",8.46
"Jan 1, 2009",7.831
"Jan 9, 2009",8.917
"Jan 17, 2009",9.453
"Jan 25, 2009",10.442
"Feb 2, 2009",10.452
"Feb 10, 2009",8.593
"Feb 18, 2009",9.536
"Feb 26, 2009",11.365
"Mar 6, 2009",11.538
"Mar 14, 2009",11.847
"Mar 22, 2009",11.398
"Mar 30, 2009",14.404
"Apr 7, 2009",14.981
"Apr 15, 2009",16.884
"Apr 23, 2009",17.81
"May 1, 2009",17.781
"May 9, 2009",15.307
"May 17, 2009",17.83
"May 25, 2009",16.486
"Jun 2, 2009",18.537
"Jun 10, 2009",18.866
"Jun 18, 2009",20.22
"Jun 26, 2009",19.281
"Jul 4, 2009",17.547
"Jul 12, 2009",17.861
"Jul 20, 2009",19.402
"Jul 28, 2009",16.503
"Aug 5, 2009",13.777
"Aug 13, 2009",10.173
"Aug 21, 2009",14.84
"Aug 29, 2009",18.736
"Sep 6, 2009",13.217
"Sep 14, 2009",16.744
"Sep 22, 2009",18.014
"Sep 30, 2009",17.418
"Oct 8, 2009",15.474
"Oct 16, 2009",15.064
"Oct 24, 2009",15.517
"Nov 1, 2009",13.715
"Nov 9, 2009",12.567
"Nov 17, 2009",11.675
"Nov 25, 2009",12.234
"Dec 3, 2009",11.641
"Dec 11, 2009",9.602
"Dec 19, 2009",9.095
"Dec 27, 2009",8.287
"Jan 1, 2010",9.1
"Jan 9, 2010",8.385
"Jan 17, 2010",8.365
"Jan 25, 2010",8.642
"Feb 2, 2010",8.237
"Feb 10, 2010",5.832
"Feb 18, 2010",8.846
"Feb 26, 2010",11.033
"Mar 6, 2010",12.45
"Mar 14, 2010",15.018
"Mar 22, 2010",15.649
"Mar 30, 2010",14.925
"Apr 7, 2010",17.451
"Apr 15, 2010",16.201
"Apr 23, 2010",16.221
"May 1, 2010",16.913
"May 9, 2010",16.848
"May 17, 2010",17.885
"May 25, 2010",19.429
"Jun 2, 2010",17.651
"Jun 10, 2010",18.278
"Jun 18, 2010",19.549
"Jun 26, 2010",17.043
"Jul 4, 2010",17.662
"Jul 12, 2010",16.402
"Jul 20, 2010",17.685
"Jul 28, 2010",18.741
"Aug 5, 2010",15.114
"Aug 13, 2010",15.574
"Aug 21, 2010",16.488
"Aug 29, 2010",13.102
"Sep 6, 2010",17.162
"Sep 14, 2010",13.053
"Sep 22, 2010",16.386
"Sep 30, 2010",17.226
"Oct 8, 2010",16.314
"Oct 16, 2010",16.594
"Oct 24, 2010",15.457
"Nov 1, 2010",15.126
"Nov 9, 2010",14.253
"Nov 17, 2010",12.292
"Nov 25, 2010",12.813
"Dec 3, 2010",11.09
"Dec 11, 2010",10.678
"Dec 19, 2010",9.183
"Dec 27, 2010",9.628
"Jan 1, 2011",7.097
