system:time_start,LST_Night_1km
"Jan 1, 2004",4.169
"Jan 9, 2004",4.144
"Jan 17, 2004",3.316
"Jan 25, 2004",1.566
"Feb 2, 2004",3.611
"Feb 10, 2004",4.162
"Feb 18, 2004",5.175
"Feb 26, 2004",5.793
"Mar 5, 2004",5.909
"Mar 13, 2004",7.69
"Mar 21, 2004",8.047
"Mar 29, 2004",7.232
"Apr 6, 2004",7.818
"Apr 14, 2004",9.173
"Apr 22, 2004",8.427
"Apr 30, 2004",9.562
"May 8, 2004",11.514
"May 16, 2004",8.431
"May 24, 2004",8.663
"Jun 1, 2004",11.262
"Jun 9, 2004",10.72
"Jun 17, 2004",10.009
"Jun 25, 2004",13.239
"Jul 3, 2004",11.385
"Jul 11, 2004",10.903
"Jul 19, 2004",9.554
"Jul 27, 2004",7.553
"Aug 4, 2004",3.262
"Aug 12, 2004",9.59
"Aug 20, 2004",13.203
"Aug 28, 2004",13.532
"Sep 5, 2004",14.477
"Sep 13, 2004",4.336
"Sep 21, 2004",12.291
"Sep 29, 2004",12.453
"Oct 7, 2004",10.493
"Oct 15, 2004",11.037
"Oct 23, 2004",8.743
"Oct 31, 2004",8.487
"Nov 8, 2004",7.857
"Nov 16, 2004",7.496
"Nov 24, 2004",6.134
"Dec 2, 2004",7.011
"Dec 10, 2004",6.885
"Dec 18, 2004",5.406
"Dec 26, 2004",4.986
"Jan 1, 2005",3.998
"Jan 9, 2005",4.258
"Jan 17, 2005",1.662
"Jan 25, 2005",2.266
"Feb 2, 2005",2.15
"Feb 10, 2005",2.85
"Feb 18, 2005",3.822
"Feb 26, 2005",4.309
"Mar 6, 2005",6.026
"Mar 14, 2005",6.477
"Mar 22, 2005",5.46
"Mar 30, 2005",6.151
"Apr 7, 2005",6.062
"Apr 15, 2005",7.553
"Apr 23, 2005",7.31
"May 1, 2005",7.367
"May 9, 2005",9.276
"May 17, 2005",10.244
"May 25, 2005",11.518
"Jun 2, 2005",9.726
"Jun 10, 2005",13.048
"Jun 18, 2005",13.305
"Jun 26, 2005",6.823
"Jul 4, 2005",4.885
"Jul 12, 2005",3.427
"Jul 20, 2005",12.579
"Jul 28, 2005",-9.03
"Aug 5, 2005",10.072
"Aug 13, 2005",7.66
"Aug 21, 2005",9.776
"Aug 29, 2005",14.96
"Sep 6, 2005",13.825
"Sep 14, 2005",10.312
"Sep 22, 2005",13.424
"Sep 30, 2005",11.925
"Oct 8, 2005",11.475
"Oct 16, 2005",11
"Oct 24, 2005",9.812
"Nov 1, 2005",8.447
"Nov 9, 2005",8.569
"Nov 17, 2005",8.17
"Nov 25, 2005",6.689
"Dec 3, 2005",5.968
"Dec 11, 2005",5.94
